area_type,availability,location,size_bhk,total_sqft,bath,balcony,price,price_per_sqft,availability_grouped
Super built-up  Area,Ready To Move,Kaverappa Layout,2.0,1250.0,2.0,1.0,68.0,5440.0,Ready To Move
Super built-up  Area,Ready To Move,Haralur Road,2.0,1056.0,2.0,1.0,60.0,5681.818181818182,Ready To Move
Plot  Area,18-Dec,Whitefield,3.0,1200.0,3.0,1.0,68.4,5700.000000000001,Upcoming
Plot  Area,Ready To Move,Kothnur Narayanapura,2.0,1290.0,1.0,0.0,77.5,6007.751937984496,Ready To Move
Built-up  Area,Ready To Move,Amruthnagar,2.0,1150.0,2.0,1.0,48.0,4173.913043478261,Ready To Move
Super built-up  Area,Ready To Move,Ambedkar Colony,2.0,1464.0,2.0,1.0,145.0,9904.371584699453,Ready To Move
Plot  Area,Ready To Move,Anekal,4.0,1200.0,2.0,1.0,36.0,3000.0,Ready To Move
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2.0,861.0,2.0,0.0,36.5,4239.256678281068,Ready To Move
Super built-up  Area,Ready To Move,Kundalahalli,2.0,1047.0,2.0,1.0,82.62,7891.117478510028,Ready To Move
Plot  Area,Ready To Move,Lakshmipura,2.0,1200.0,2.0,0.0,75.0,6250.0,Ready To Move
Built-up  Area,Ready To Move,Hongasandra,2.0,1065.0,2.0,1.0,45.0,4225.352112676056,Ready To Move
Built-up  Area,Ready To Move,Rajaji Nagar,3.0,2300.0,3.0,3.0,369.0,16043.478260869566,Ready To Move
Super built-up  Area,Ready To Move,Ramamurthy Nagar,2.0,1000.0,2.0,1.0,62.0,6200.0,Ready To Move
Super built-up  Area,Ready To Move,Lingadheeranahalli,3.0,1682.0,3.0,1.0,113.0,6718.192627824019,Ready To Move
Super built-up  Area,Ready To Move,Harlur,3.0,1756.0,3.0,2.0,131.0,7460.136674259681,Ready To Move
Plot  Area,Ready To Move,BEL Road,5.0,4000.0,4.0,2.0,1000.0,25000.0,Ready To Move
Super built-up  Area,Ready To Move,Vittasandra,2.0,1238.0,2.0,1.0,67.32,5437.802907915992,Ready To Move
Super built-up  Area,Ready To Move,Dasanapura,2.0,814.0,2.0,1.0,42.0,5159.7051597051595,Ready To Move
Built-up  Area,Ready To Move,Dodda Nekkundi,2.0,1145.0,2.0,1.0,46.5,4061.1353711790393,Ready To Move
Super built-up  Area,Ready To Move,Varthur,2.0,965.0,2.0,1.0,34.0,3523.316062176166,Ready To Move
Super built-up  Area,Ready To Move,Doddabele,2.0,750.0,2.0,1.0,36.0,4800.0,Ready To Move
Built-up  Area,Ready To Move,Banashankari,3.0,1300.0,2.0,2.0,55.0,4230.7692307692305,Ready To Move
Super built-up  Area,18-May,1st Phase JP Nagar,3.0,1590.0,3.0,3.0,131.0,8238.993710691824,Upcoming
Super built-up  Area,20-Aug,Begur Road,1.0,644.0,1.0,1.0,40.0,6211.180124223602,Upcoming
Super built-up  Area,18-Mar,Whitefield,2.0,982.0,2.0,1.0,37.0,3767.8207739307536,Upcoming
Super built-up  Area,Ready To Move,Indira Nagar,2.0,1260.0,2.0,2.0,100.0,7936.507936507936,Ready To Move
Super built-up  Area,Ready To Move,Rayasandra,3.0,1555.0,3.0,2.0,75.17,4834.083601286174,Ready To Move
Built-up  Area,Ready To Move,Race Course Road,4.0,2500.0,4.0,1.0,450.0,18000.0,Ready To Move
Super built-up  Area,18-Aug,Kaggadasapura,2.0,1225.0,2.0,2.0,48.0,3918.3673469387754,Upcoming
Super built-up  Area,Ready To Move,Electronics City Phase 1,2.0,1085.0,2.0,1.0,46.0,4239.6313364055295,Ready To Move
Super built-up  Area,Ready To Move,Rajaji Nagar,3.0,1640.0,3.0,2.0,220.0,13414.634146341463,Ready To Move
Built-up  Area,18-Aug,Thanisandra,3.0,1595.0,3.0,1.0,110.0,6896.551724137931,Upcoming
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2.0,1196.0,2.0,2.0,40.44,3381.2709030100336,Ready To Move
Super built-up  Area,18-Mar,Yelahanka,3.0,1859.0,3.0,1.0,108.0,5809.575040344271,Upcoming
Super built-up  Area,21-Sep,9th Phase JP Nagar,2.0,1079.0,2.0,1.0,60.0,5560.704355885079,Upcoming
Super built-up  Area,Ready To Move,Whitefield,2.0,1118.0,2.0,1.0,42.0,3756.7084078711987,Ready To Move
Super built-up  Area,Ready To Move,CV Raman Nagar,2.0,1198.0,2.0,2.0,60.0,5008.347245409015,Ready To Move
Super built-up  Area,Ready To Move,Thigalarapalya,3.0,1830.0,4.0,2.0,135.0,7377.049180327869,Ready To Move
Super built-up  Area,20-Oct,Banashankari Stage VI,2.0,1160.0,2.0,1.0,59.0,5086.206896551724,Upcoming
Super built-up  Area,Ready To Move,Srirampuram,3.0,1485.0,2.0,1.0,156.0,10505.050505050505,Ready To Move
Super built-up  Area,Ready To Move,Ejipura,3.0,2070.0,3.0,3.0,135.0,6521.739130434783,Ready To Move
Built-up  Area,17-Mar,Kannamangala,2.0,957.0,2.0,0.0,52.5,5485.8934169279,Upcoming
Plot  Area,Ready To Move,Basaveshwara Nagar,5.0,2400.0,4.0,1.0,310.0,12916.666666666666,Ready To Move
Super built-up  Area,18-Dec,Bannerghatta Road,2.0,1268.0,2.0,1.0,69.0,5441.640378548896,Upcoming
Super built-up  Area,Ready To Move,Bannerghatta Road,3.0,1450.0,2.0,2.0,87.0,6000.0,Ready To Move
Built-up  Area,Ready To Move,Manorayana Palya,3.0,1600.0,2.0,2.0,75.0,4687.5,Ready To Move
Super built-up  Area,Ready To Move,Uttarahalli,3.0,1330.0,2.0,1.0,57.0,4285.714285714285,Ready To Move
Super built-up  Area,Ready To Move,Jakkur,3.0,1355.0,2.0,2.0,65.0,4797.047970479704,Ready To Move
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2.0,1272.0,2.0,2.0,51.5,4048.7421383647797,Ready To Move
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,2.0,1100.0,2.0,1.0,38.49,3499.090909090909,Ready To Move
Super built-up  Area,Ready To Move,Sarjapur  Road,3.0,1220.0,3.0,2.0,58.0,4754.098360655737,Ready To Move
Super built-up  Area,Ready To Move,Chikkalasandra,2.0,1075.0,2.0,1.0,46.76,4349.767441860465,Ready To Move
Super built-up  Area,Ready To Move,Lingarajapuram,2.0,800.0,2.0,1.0,55.0,6875.0,Ready To Move
Super built-up  Area,Ready To Move,Vasanthapura,2.0,995.0,2.0,1.0,34.82,3499.497487437186,Ready To Move
Built-up  Area,Ready To Move,Vasantha Vallabha Nagar,2.0,900.0,1.0,1.0,44.0,4888.888888888889,Ready To Move
Super built-up  Area,Ready To Move,Haralur Road,2.0,1140.0,2.0,1.0,42.0,3684.2105263157896,Ready To Move
Super built-up  Area,Ready To Move,Ganga Nagar,3.0,1480.0,2.0,2.0,125.0,8445.945945945947,Ready To Move
Super built-up  Area,18-May,Padmanabhanagar,3.0,1710.0,2.0,2.0,90.63,5300.0,Upcoming
Super built-up  Area,21-Dec,Talaghattapura,3.0,2106.0,3.0,3.0,148.0,7027.540360873694,Upcoming
Plot  Area,Ready To Move,Sadahalli,3.0,3800.0,2.0,2.0,130.0,3421.0526315789475,Ready To Move
Super built-up  Area,Ready To Move,Marathahalli,2.0,1602.0,2.0,2.0,104.0,6491.8851435705365,Ready To Move
Super built-up  Area,Ready To Move,Sarjapur  Road,3.0,1660.0,2.0,2.0,116.0,6987.951807228916,Ready To Move
Super built-up  Area,Ready To Move,Electronic City Phase II,3.0,1549.0,3.0,2.0,80.0,5164.622336991608,Ready To Move
Super built-up  Area,19-Mar,Marathahalli,1.0,700.0,1.0,1.0,38.0,5428.571428571428,Upcoming
Super built-up  Area,18-Dec,Balagere,2.0,1012.0,2.0,1.0,64.0,6324.110671936759,Upcoming
Super built-up  Area,19-Dec,Marathahalli,3.0,1469.0,3.0,1.0,89.0,6058.543226684819,Upcoming
Super built-up  Area,18-Aug,Whitefield,2.0,1216.0,2.0,1.0,69.0,5674.3421052631575,Upcoming
Super built-up  Area,Ready To Move,Electronic City Phase II,2.0,1065.0,2.0,1.0,56.13,5270.422535211268,Ready To Move
Super built-up  Area,19-Mar,Thanisandra,3.0,1411.0,3.0,1.0,93.15,6601.700921332388,Upcoming
Super built-up  Area,Ready To Move,Pai Layout,2.0,1400.0,2.0,2.0,57.5,4107.142857142857,Ready To Move
Super built-up  Area,Ready To Move,Hoskote,3.0,1250.0,3.0,2.0,29.0,2320.0,Ready To Move
Super built-up  Area,Ready To Move,Haralur Road,2.0,1245.0,2.0,3.0,62.0,4979.919678714859,Ready To Move
Super built-up  Area,Ready To Move,Choodasandra,2.0,1115.0,2.0,1.0,50.0,4484.304932735426,Ready To Move
Super built-up  Area,Ready To Move,Vidyaranyapura,2.0,1000.0,2.0,1.0,35.0,3500.0,Ready To Move
Super built-up  Area,Ready To Move,Subramanyapura,3.0,1800.0,3.0,2.0,90.0,5000.0,Ready To Move
Super built-up  Area,Ready To Move,Mathikere,2.0,1500.0,2.0,2.0,130.0,8666.666666666666,Ready To Move
Super built-up  Area,18-Sep,Chandapura,1.0,645.0,1.0,1.0,16.45,2550.3875968992247,Upcoming
Super built-up  Area,18-Jun,Kothannur,3.0,1275.0,3.0,2.0,44.0,3450.9803921568628,Upcoming
Super built-up  Area,Ready To Move,Kasavanhalli,3.0,1494.0,3.0,2.0,82.0,5488.621151271754,Ready To Move
Super built-up  Area,Ready To Move,Bhoganhalli,3.0,1949.0,3.0,2.0,129.0,6618.778860954336,Ready To Move
Super built-up  Area,Ready To Move,BTM Layout,2.0,1020.0,2.0,1.0,46.5,4558.823529411765,Ready To Move
Super built-up  Area,Ready To Move,Mysore Road,2.0,883.0,2.0,1.0,45.0,5096.262740656852,Ready To Move
Built-up  Area,Ready To Move,Old Airport Road,4.0,3200.0,4.0,2.0,280.0,8750.0,Ready To Move
Super built-up  Area,Ready To Move,Anand nagar,3.0,2010.0,3.0,3.0,125.0,6218.905472636816,Ready To Move
Super built-up  Area,Ready To Move,Yeshwanthpur,2.0,1240.0,2.0,2.0,80.0,6451.612903225807,Ready To Move
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2.0,1213.0,2.0,1.0,63.0,5193.734542456719,Ready To Move
Super built-up  Area,Ready To Move,Hegde Nagar,3.0,1835.0,3.0,3.0,88.0,4795.6403269754765,Ready To Move
Super built-up  Area,Ready To Move,Bannerghatta Road,4.0,2932.0,5.0,2.0,195.0,6650.75034106412,Ready To Move
Built-up  Area,Ready To Move,Whitefield,4.0,3425.0,5.0,2.0,250.0,7299.270072992701,Ready To Move
Built-up  Area,Ready To Move,Gottigere,2.0,945.0,2.0,0.0,45.0,4761.9047619047615,Ready To Move
Super built-up  Area,Ready To Move,Sathya Layout,3.0,1504.0,2.0,2.0,100.0,6648.936170212766,Ready To Move
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3.0,1569.0,3.0,2.0,150.0,9560.229445506691,Ready To Move
Super built-up  Area,Ready To Move,Harlur,3.0,1755.0,3.0,2.0,130.0,7407.407407407408,Ready To Move
Super built-up  Area,Ready To Move,Vijayanagar,3.0,1760.0,3.0,2.0,140.0,7954.545454545455,Ready To Move
Super built-up  Area,18-May,Hoodi,2.0,1240.0,2.0,3.0,43.94,3543.548387096774,Upcoming
Super built-up  Area,19-Dec,Electronics City Phase 1,3.0,1450.0,3.0,2.0,72.54,5002.758620689656,Upcoming
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2.0,1000.0,2.0,0.0,48.0,4800.0,Ready To Move
Plot  Area,Ready To Move,Shivaji Nagar,1.0,3820.0,1.0,1.0,306.0,8010.471204188481,Ready To Move
Super built-up  Area,Ready To Move,Thyagaraja Nagar,5.0,2000.0,4.0,2.0,145.0,7250.0,Ready To Move
Super built-up  Area,Ready To Move,Choodasandra,2.0,1215.0,2.0,2.0,59.0,4855.9670781893,Ready To Move
Super built-up  Area,Ready To Move,Yelachenahalli,3.0,1330.0,3.0,3.0,73.5,5526.315789473684,Ready To Move
Super built-up  Area,18-Aug,Raja Rajeshwari Nagar,2.0,1178.0,2.0,1.0,75.0,6366.723259762309,Upcoming
Plot  Area,18-Aug,Hulimavu,4.0,1500.0,4.0,3.0,192.0,12800.0,Upcoming
Super built-up  Area,Ready To Move,Shree Ananth Nagar Layout,2.0,2040.0,2.0,2.0,59.0,2892.156862745098,Ready To Move
Super built-up  Area,18-Mar,Bellandur,3.0,2000.0,3.0,2.0,85.0,4250.0,Upcoming
Super built-up  Area,18-May,Shanti Nagar,3.0,1602.0,2.0,1.0,165.0,10299.625468164793,Upcoming
Plot  Area,Ready To Move,2nd Stage Arekere Mico Layout,4.0,1200.0,4.0,1.0,130.0,10833.333333333334,Ready To Move
Super built-up  Area,Ready To Move,Parappana Agrahara,2.0,1194.0,2.0,2.0,46.0,3852.5963149078725,Ready To Move
Built-up  Area,Ready To Move,Jayamahal,3.0,1800.0,3.0,1.0,220.0,12222.222222222223,Ready To Move
Plot  Area,Ready To Move,Dasarahalli,3.0,2400.0,2.0,1.0,152.0,6333.333333333333,Ready To Move
Super built-up  Area,Ready To Move,Sarjapur  Road,3.0,1700.0,3.0,3.0,108.0,6352.941176470588,Ready To Move
Built-up  Area,Ready To Move,Jigani,3.0,1200.0,3.0,2.0,65.0,5416.666666666667,Ready To Move
Plot  Area,Ready To Move,Veer Sandra,3.0,1500.0,3.0,0.0,72.0,4800.0,Ready To Move
Plot  Area,Ready To Move,Karuna Nagar,3.0,1240.0,3.0,2.0,165.0,13306.451612903225,Ready To Move
Built-up  Area,Ready To Move,Whitefield,3.0,3000.0,3.0,2.0,400.0,13333.333333333334,Ready To Move
Built-up  Area,Ready To Move,Kanakpura Road,3.0,1737.0,3.0,3.0,85.0,4893.494530800231,Ready To Move
Plot  Area,Ready To Move,TC Palaya,2.0,900.0,2.0,0.0,55.0,6111.111111111111,Ready To Move
Built-up  Area,Ready To Move,Chennappa Layout,3.0,1280.0,2.0,1.0,48.0,3750.0,Ready To Move
Super built-up  Area,Ready To Move,CV Raman Nagar,2.0,1560.0,2.0,2.0,85.0,5448.717948717948,Ready To Move
Super built-up  Area,Ready To Move,Kambipura,2.0,883.0,2.0,1.0,44.0,4983.012457531144,Ready To Move
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2.0,750.0,2.0,1.0,33.0,4400.0,Ready To Move
Super built-up  Area,Ready To Move,Brookefield,4.0,2400.0,3.0,3.0,140.0,5833.333333333333,Ready To Move
Super built-up  Area,Ready To Move,Bhuvaneshwari Nagar,2.0,900.0,2.0,1.0,45.0,5000.0,Ready To Move
Super built-up  Area,Ready To Move,Hormavu,2.0,1030.0,2.0,1.0,49.35,4791.26213592233,Ready To Move
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1850.0,3.0,2.0,155.0,8378.378378378378,Ready To Move
Built-up  Area,Ready To Move,Hennur Road,3.0,1831.0,3.0,1.0,110.0,6007.646095030038,Ready To Move
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar 5th Stage,2.0,1095.0,2.0,1.0,38.33,3500.4566210045664,Ready To Move
Built-up  Area,18-Jul,Electronic City Phase II,3.0,1320.0,2.0,1.0,38.13,2888.636363636364,Upcoming
Built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1000.0,2.0,1.0,61.0,6100.0,Ready To Move
Super built-up  Area,Ready To Move,Budigere,3.0,1820.0,3.0,2.0,85.4,4692.307692307692,Ready To Move
Super built-up  Area,Ready To Move,Bisuvanahalli,3.0,1075.0,2.0,1.0,41.0,3813.953488372093,Ready To Move
Plot  Area,18-May,TC Palaya,3.0,1500.0,3.0,0.0,83.0,5533.333333333333,Upcoming
Super built-up  Area,Ready To Move,Electronics City Phase 1,1.0,360.0,1.0,0.0,16.9,4694.444444444443,Ready To Move
Super built-up  Area,21-Dec,Electronic City,2.0,1140.0,2.0,1.0,70.93,6221.9298245614045,Upcoming
Super built-up  Area,18-Oct,Chennammana Kere,2.0,1145.0,2.0,2.0,58.4,5100.436681222707,Upcoming
Super built-up  Area,Ready To Move,RMV Extension Stage 2,3.0,1862.0,3.0,3.0,120.0,6444.68313641246,Ready To Move
Super built-up  Area,Ready To Move, Devarachikkanahalli,2.0,947.0,2.0,2.0,43.0,4540.654699049631,Ready To Move
Super built-up  Area,Ready To Move,Kalena Agrahara,2.0,1120.0,2.0,2.0,40.0,3571.4285714285716,Ready To Move
Built-up  Area,Ready To Move,Sadanand Nagar,3.0,2700.0,3.0,3.0,200.0,7407.407407407408,Ready To Move
Super built-up  Area,Ready To Move,Kaggadasapura,3.0,1805.0,2.0,2.0,75.0,4155.124653739612,Ready To Move
Super built-up  Area,Ready To Move,Basavangudi,2.0,1100.0,2.0,3.0,93.0,8454.545454545454,Ready To Move
Plot  Area,Ready To Move,Bommenahalli,4.0,1355.0,3.0,0.0,135.0,9963.09963099631,Ready To Move
Built-up  Area,18-Dec,"Whietfield, ",3.0,1677.0,3.0,2.0,98.0,5843.768634466309,Upcoming
Built-up  Area,Ready To Move,Hosapalya,8.0,2500.0,8.0,3.0,95.0,3800.0,Ready To Move
Super built-up  Area,Ready To Move,Uttarahalli,3.0,1560.0,3.0,3.0,74.0,4743.589743589743,Ready To Move
Super built-up  Area,Ready To Move,Arekere,3.0,2060.0,3.0,2.0,150.0,7281.553398058252,Ready To Move
Super built-up  Area,Ready To Move,Koramangala,3.0,1716.0,2.0,0.0,115.0,6701.631701631702,Ready To Move
Super built-up  Area,Ready To Move,Harlur,3.0,1864.0,3.0,1.0,140.0,7510.729613733905,Ready To Move
Built-up  Area,Ready To Move,Electronics City Phase 1,1.0,638.0,1.0,1.0,32.0,5015.673981191223,Ready To Move
Super built-up  Area,18-Dec,Chandapura,2.0,937.0,2.0,1.0,30.0,3201.7075773745996,Upcoming
Built-up  Area,Ready To Move,Hennur Gardens,3.0,1490.0,2.0,1.0,115.0,7718.120805369127,Ready To Move
Super built-up  Area,Ready To Move,Frazer Town,4.0,4856.0,5.0,3.0,410.0,8443.163097199342,Ready To Move
Plot  Area,Ready To Move,Whitefield,4.0,4003.0,6.0,1.0,525.0,13115.16362727954,Ready To Move
Super built-up  Area,17-May,Whitefield,2.0,1100.0,2.0,1.0,37.0,3363.6363636363635,Upcoming
Super built-up  Area,Ready To Move,Thigalarapalya,2.0,1000.0,2.0,2.0,48.53,4853.0,Ready To Move
Super built-up  Area,Ready To Move,Horamavu Agara,2.0,1060.0,2.0,1.0,37.0,3490.566037735849,Ready To Move
Super built-up  Area,Ready To Move,Kundalahalli,2.0,1047.0,2.0,1.0,91.0,8691.499522445081,Ready To Move
Built-up  Area,Ready To Move,Basaveshwara Nagar,2.0,1200.0,2.0,2.0,80.0,6666.666666666667,Ready To Move
Super built-up  Area,Ready To Move,Akshaya Nagar,3.0,1420.0,2.0,2.0,75.0,5281.69014084507,Ready To Move
Super built-up  Area,Ready To Move,Sarjapur  Road,3.0,1539.0,3.0,2.0,85.0,5523.066926575699,Ready To Move
Super built-up  Area,Ready To Move,Tejaswini Nagar,3.0,1550.0,3.0,1.0,59.0,3806.451612903226,Ready To Move
Super built-up  Area,Ready To Move,Kasavanhalli,3.0,1555.0,3.0,3.0,82.0,5273.311897106109,Ready To Move
Super built-up  Area,Ready To Move,Seegehalli,3.0,1553.0,3.0,3.0,68.0,4378.62202189311,Ready To Move
Super built-up  Area,Ready To Move,Electronic City Phase II,2.0,920.0,2.0,2.0,26.0,2826.086956521739,Ready To Move
Super built-up  Area,Ready To Move,Jeevan bima nagar,3.0,1740.0,3.0,3.0,120.0,6896.551724137931,Ready To Move
Super built-up  Area,Ready To Move,OMBR Layout,3.0,1855.0,3.0,2.0,145.0,7816.711590296496,Ready To Move
Super built-up  Area,18-Mar,Kundalahalli,3.0,1724.0,3.0,1.0,146.0,8468.677494199535,Upcoming
Super built-up  Area,Ready To Move,B Narayanapura,2.0,1020.0,2.0,2.0,60.0,5882.35294117647,Ready To Move
Super built-up  Area,Ready To Move,Uttarahalli,3.0,1250.0,2.0,1.0,50.0,4000.0,Ready To Move
Super built-up  Area,Ready To Move,Sanjay nagar,3.0,1450.0,3.0,2.0,75.0,5172.413793103448,Ready To Move
Super built-up  Area,Ready To Move,Thubarahalli,2.0,1200.0,2.0,2.0,80.0,6666.666666666667,Ready To Move
Built-up  Area,Ready To Move,Haralur Road,2.0,1140.0,2.0,2.0,58.0,5087.7192982456145,Ready To Move
Super built-up  Area,Ready To Move,Basava Nagar,1.0,550.0,1.0,1.0,16.0,2909.090909090909,Ready To Move
Super built-up  Area,17-Oct,Bannerghatta Road,3.0,1450.0,3.0,1.0,44.0,3034.4827586206898,Upcoming
Plot  Area,Immediate Possession,Jigani,2.0,1500.0,2.0,2.0,25.49,1699.3333333333333,Upcoming
Super built-up  Area,21-Dec,Kanakpura Road,2.0,700.0,2.0,1.0,35.07,5010.0,Upcoming
Plot  Area,18-Jul,Whitefield,3.0,1200.0,3.0,1.0,56.0,4666.666666666667,Upcoming
Super built-up  Area,Ready To Move,Yelahanka,2.0,1050.0,2.0,1.0,45.0,4285.714285714285,Ready To Move
Super built-up  Area,Ready To Move,Somasundara Palya,3.0,1600.0,3.0,3.0,69.0,4312.5,Ready To Move
Super built-up  Area,Ready To Move,Bannerghatta Road,3.0,1625.0,2.0,3.0,75.0,4615.384615384615,Ready To Move
Super built-up  Area,Ready To Move,Volagerekallahalli,2.0,1492.0,2.0,2.0,65.0,4356.56836461126,Ready To Move
Super built-up  Area,Ready To Move,Sarjapur  Road,3.0,1489.0,2.0,3.0,82.0,5507.051712558764,Ready To Move
Super built-up  Area,Ready To Move,Kanakapura,3.0,1560.0,2.0,2.0,62.38,3998.7179487179487,Ready To Move
Super built-up  Area,Ready To Move,Haralur Road,2.0,1140.0,2.0,2.0,42.0,3684.2105263157896,Ready To Move
Super built-up  Area,Ready To Move,Lavakusha Nagar,3.0,1431.0,3.0,2.0,65.0,4542.278127183788,Ready To Move
Super built-up  Area,Ready To Move,Lingadheeranahalli,3.0,1682.0,3.0,1.0,114.0,6777.645659928657,Ready To Move
Super built-up  Area,18-Feb,Panathur,2.0,1198.0,2.0,1.0,86.26,7200.33388981636,Upcoming
Plot  Area,18-May,Outer Ring Road East,3.0,3664.0,3.0,2.0,325.0,8870.087336244542,Upcoming
Super built-up  Area,Ready To Move,Sarjapur  Road,3.0,1550.0,2.0,2.0,69.75,4500.0,Ready To Move
Super built-up  Area,Ready To Move,Kodichikkanahalli,2.0,1026.0,2.0,1.0,45.0,4385.964912280701,Ready To Move
Built-up  Area,Ready To Move,Hennur,3.0,1260.0,2.0,2.0,52.0,4126.984126984127,Ready To Move
Plot  Area,Ready To Move,Singanayakanahalli,2.0,690.0,2.0,0.0,42.0,6086.95652173913,Ready To Move
Super built-up  Area,Ready To Move,Sarjapur  Road,1.0,539.0,1.0,1.0,45.0,8348.794063079777,Ready To Move
Built-up  Area,Ready To Move,Sarakki Nagar,4.0,1200.0,4.0,1.0,85.0,7083.333333333333,Ready To Move
Built-up  Area,Ready To Move,Attibele,3.0,2400.0,3.0,3.0,120.0,5000.0,Ready To Move
Super built-up  Area,Ready To Move,Thubarahalli,2.0,1200.0,2.0,2.0,79.55,6629.166666666667,Ready To Move
Plot  Area,Ready To Move,Kundalahalli,4.0,2500.0,5.0,2.0,350.0,14000.0,Ready To Move
Super built-up  Area,Ready To Move,Sarjapur  Road,3.0,1186.0,2.0,2.0,40.0,3372.681281618887,Ready To Move
Super built-up  Area,Ready To Move,Thanisandra,2.0,1039.0,2.0,2.0,39.5,3801.732435033686,Ready To Move
Plot  Area,Ready To Move,Mahalakshmi Puram,4.0,1500.0,5.0,3.0,233.0,15533.333333333334,Ready To Move
Plot  Area,Ready To Move,Gottigere,5.0,1500.0,4.0,1.0,100.0,6666.666666666667,Ready To Move
Super built-up  Area,Ready To Move,Malleshwaram,3.0,2520.0,3.0,2.0,150.0,5952.380952380952,Ready To Move
Built-up  Area,Ready To Move,Brookefield,2.0,1225.0,2.0,2.0,66.5,5428.571428571428,Ready To Move
Built-up  Area,Ready To Move,Bommanahalli,2.0,1350.0,2.0,2.0,72.0,5333.333333333333,Ready To Move
Super built-up  Area,Ready To Move,Vittal Mallya Road,2.0,1030.0,2.0,2.0,300.0,29126.21359223301,Ready To Move
Built-up  Area,Ready To Move,Whitefield,3.0,1550.0,2.0,2.0,49.6,3200.0,Ready To Move
Super built-up  Area,Ready To Move,Hoodi,3.0,1490.0,3.0,2.0,79.0,5302.013422818792,Ready To Move
Super built-up  Area,Ready To Move,Brindavan Nagar,3.0,1520.0,3.0,2.0,111.0,7302.631578947368,Ready To Move
Plot  Area,Ready To Move,Whitefield,4.0,4100.0,4.0,2.0,550.0,13414.634146341463,Ready To Move
Built-up  Area,Ready To Move,Dena Bank Colony,3.0,1391.0,2.0,3.0,64.5,4636.951833213516,Ready To Move
Super built-up  Area,Ready To Move,Rachenahalli,2.0,1200.0,2.0,2.0,50.0,4166.666666666667,Ready To Move
Plot  Area,Ready To Move,Kadabagere,4.0,1200.0,4.0,2.0,86.0,7166.666666666667,Ready To Move
Plot  Area,Ready To Move,1st Block HBR Layout,5.0,2500.0,6.0,3.0,500.0,20000.0,Ready To Move
Super built-up  Area,Ready To Move,Yelahanka,2.0,1322.0,2.0,2.0,80.0,6051.437216338881,Ready To Move
Super built-up  Area,19-Dec,Whitefield,3.0,2173.0,3.0,2.0,128.0,5890.473999079613,Upcoming
Super built-up  Area,Ready To Move,Sarjapur  Road,2.0,1200.0,2.0,2.0,75.0,6250.0,Ready To Move
Super built-up  Area,Ready To Move,Thubarahalli,2.0,1200.0,2.0,2.0,47.0,3916.6666666666665,Ready To Move
Super built-up  Area,Ready To Move,Mysore Road,2.0,1170.0,2.0,2.0,65.0,5555.555555555556,Ready To Move
Super built-up  Area,17-Dec,NRI Layout,2.0,1125.0,2.0,2.0,45.56,4049.777777777778,Upcoming
Super built-up  Area,Ready To Move,Seetharampalya,2.0,1250.0,2.0,2.0,90.0,7200.0,Ready To Move
Super built-up  Area,19-Dec,Chandapura,2.0,1025.0,2.0,2.0,27.68,2700.487804878049,Upcoming
Super built-up  Area,Ready To Move,Yelahanka,3.0,1075.0,2.0,2.0,36.0,3348.8372093023254,Ready To Move
Super built-up  Area,Ready To Move,High grounds,3.0,1900.0,2.0,2.0,190.0,10000.0,Ready To Move
Built-up  Area,Ready To Move,Whitefield,3.0,1435.0,3.0,2.0,45.0,3135.8885017421603,Ready To Move
Super built-up  Area,18-Dec,Electronics City Phase 1,2.0,1175.0,2.0,2.0,64.98,5530.212765957447,Upcoming
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3.0,1464.0,3.0,2.0,56.0,3825.136612021858,Ready To Move
Built-up  Area,Ready To Move,Doddabidrakallu,2.0,900.0,2.0,1.0,33.0,3666.6666666666665,Ready To Move
Super built-up  Area,Ready To Move,Electronics City Phase 1,1.0,585.0,1.0,1.0,21.0,3589.74358974359,Ready To Move
Plot  Area,Ready To Move,Jigani,4.0,3170.0,5.0,2.0,230.0,7255.520504731861,Ready To Move
Super built-up  Area,18-May,Shanti Nagar,3.0,1602.0,2.0,1.0,170.0,10611.735330836455,Upcoming
Super built-up  Area,Ready To Move,Thanisandra,2.0,1220.0,2.0,2.0,42.0,3442.622950819672,Ready To Move
Super built-up  Area,Ready To Move,Rajaji Nagar,3.0,2500.0,3.0,3.0,350.0,14000.0,Ready To Move
Super built-up  Area,Ready To Move,Sarjapur  Road,3.0,2145.0,3.0,3.0,180.0,8391.608391608392,Ready To Move
Super built-up  Area,Ready To Move,Bannerghatta Road,2.0,960.0,2.0,3.0,58.0,6041.666666666667,Ready To Move
Super built-up  Area,Ready To Move,NGR Layout,1.0,907.0,1.0,1.0,38.0,4189.636163175303,Ready To Move
